content,score,at,token,lemmatized,topic,factor_label
banyak spam telpon untuk promosi ajakan buka akun paylater,1,2024-12-11 4:15:16,"['spam', 'telpon', 'promosi', 'ajakan', 'buka', 'akun', 'paylater']",spam telpon promosi ajak buka akun paylater,2_telpon layan_spam sms_telepon_telpon,FAC_10
buruk ketika saya ingin membayar saya iklan selalu muncul dan mengganggu sangat mengganggu buang waktu,1,2024-10-09 3:25:54,"['buruk', 'membayar', 'iklan', 'muncul', 'mengganggu', 'mengganggu', 'buang']",buruk bayar iklan muncul ganggu ganggu buang,20_bayar iklan_iklan limit_iklan hilang_lunas iklan,FAC_10
bagi saya ini bekerja dengan sangat baik saya rasa ini adalah satu satunya yang menyediakan yang bisa ditarik hampir seperti kartu kredit tapi tanpa kartu tapi bunganya lebih tinggi dari kartu kredit,5,2024-03-31 18:46:17,"['satunya', 'menyediakan', 'ditarik', 'kartu', 'kredit', 'kartu', 'bunganya', 'kartu', 'kredit']",satu sedia tarik kartu kredit kartu bunga kartu kredit,-1,Outlier
saya menerima sms dari bank yang menyatakan bahwa saya terpilih untuk mendapatkan limit beserta link unduh aplikasi nya namun 1 detik setelah mendaftar pengajuan saya ditolak penipuan yang sangat hebat jangan memasang ini,1,2022-12-23 9:14:44,"['menerima', 'sms', 'bank', 'terpilih', 'limit', 'beserta', 'link', 'unduh', 'aplikasi', 'nya', '1', 'detik', 'mendaftar', 'pengajuan', 'ditolak', 'penipuan', 'hebat', 'memasang']",terima sms bank pilih limit serta link unduh aplikasi nya 1 detik daftar aju tolak tipu hebat pasang,2_telpon layan_spam sms_telepon_telpon,FAC_10
indosat im3 terus mengirimi saya pesan tentang tempat sampah ini agar saya bisa mendaftarkan tapi nyatanya tidak ada pinjaman langsung anda harus mengisi banyak formulir dan mereka tidak akan meminjamkan uang mereka hanya pencuri data,1,2023-06-15 10:05:25,"['indosat', 'im3', 'mengirimi', 'pesan', 'sampah', 'mendaftarkan', 'pinjaman', 'langsung', 'mengisi', 'formulir', 'meminjamkan', 'uang', 'pencuri', 'data']",indosat im3 kirim pesan sampah daftar pinjam langsung isi formulir pinjam uang curi data,-1,Outlier
bank adalah yang terbaik sangat mudah digunakan,5,2024-09-09 3:49:49,"['bank', 'terbaik', 'mudah']",bank baik mudah,21_mudah fleksibel_rumit mantap_mudah simpel_mudah mengunakan,FAC_3
selalu error jaringan saat foto ktp untuk aktivasi dana instan keuangan yang tidak berguna,1,2023-01-11 12:27:04,"['error', 'jaringan', 'foto', 'ktp', 'aktivasi', 'dana', 'instan', 'keuangan', 'berguna']",error jaring foto ktp aktivasi dana instan uang guna,18_ktp gagal_foto ktp_ktp pakai_ktpnya daftar,FAC_5
sms yang masuk terlalu banyak tapi setelah coba aktif gagal dan coba lagi nanti sangat kecewa,1,2024-03-13 12:15:38,"['sms', 'masuk', 'coba', 'aktif', 'gagal', 'coba', 'kecewa']",sms masuk coba aktif gagal coba kecewa,2_telpon layan_spam sms_telepon_telpon,FAC_10
promosi janji busuk,1,2024-08-08 6:08:58,"['promosi', 'janji', 'busuk']",promosi janji busuk,20_bayar iklan_iklan limit_iklan hilang_lunas iklan,FAC_10
adalah solusi pembayaran yang sangat praktis dan terpercaya proses pendaftaran mudah limit cepat disetujui dan dapat digunakan untuk berbagai transaksi daring maupun offline bunga kompetitif dan tenor cicilan fleksibel membuatnya sangat membantu untuk kebutuhan mendesak layanan pelanggan juga responsif dan ramah sangat puas menggunakan benar mempermudah hidup saya,5,2025-01-03 0:11:01,"['solusi', 'pembayaran', 'praktis', 'terpercaya', 'proses', 'pendaftaran', 'mudah', 'limit', 'cepat', 'disetujui', 'transaksi', 'daring', 'offline', 'bunga', 'kompetitif', 'tenor', 'cicilan', 'fleksibel', 'membuatnya', 'membantu', 'kebutuhan', 'mendesak', 'layanan', 'pelanggan', 'responsif', 'ramah', 'puas', 'mempermudah', 'hidup']",solusi bayar praktis terpercaya proses daftar mudah limit cepat tuju transaksi daring offline bunga kompetitif tenor cicil fleksibel buat bantu butuh desak layan langgan responsif ramah puas mudah hidup,-1,Outlier
